#item,x,y,width,height,label
7662986239,64,227,12,29,2
2445552239,104,0,50,256,2
3748905239,156,224,20,32,2
6273219239,164,208,28,48,2
2613229239,151,39,105,217,2
3687484239,72,219,19,22,2
6059942239,90,202,13,19,2
9518917239,64,192,21,26,2
4327737239,99,189,18,13,2
4983405239,59,178,21,18,2
4205694239,28,122,32,64,2
7770071239,68,168,17,18,2
2211744239,81,156,28,20,2
7441130239,160,158,17,16,2
7985055239,240,136,16,20,2
9682098239,20,120,23,15,2
4546280239,236,120,20,14,2
5188630239,154,105,10,18,2
7244590239,13,39,52,73,2
9325094239,97,90,18,16,2
4002680239,211,64,40,29,2
7332722239,32,63,16,25,2
1441806239,208,0,48,78,2
3395204239,85,26,18,27,2
2441325239,209,38,14,11,2
4516686239,25,0,86,44,2
5936170239,194,19,14,25,2
6075132239,144,0,44,42,2
