#item,x,y,width,height,label
5351611041,25,219,16,37,2
1261374041,48,243,20,13,2
2651835041,73,244,24,12,2
7597531041,99,224,13,32,2
2068839041,139,191,18,65,2
4968769041,136,105,48,151,2
4022132041,188,198,68,58,2
4251374041,178,192,16,39,2
6921299041,16,186,53,42,2
9858514041,111,137,12,82,2
9612470041,171,0,70,198,2
9947538041,43,0,104,187,2
3983758041,37,121,34,64,2
2482907041,158,108,26,64,2
9765186041,83,136,14,24,2
1312851041,26,80,17,64,2
9074643041,132,63,15,33,2
2610950041,167,70,13,19,2
8361786041,139,27,20,32,2
3139412041,16,0,25,58,2
1473201041,40,17,9,22,2
3341489041,52,1,16,29,2
7898654041,74,0,10,15,2
