#item,x,y,width,height,label
1553981827,0,191,150,65,3
8660081827,0,0,256,256,3
3026622827,144,187,75,64,3
5121562827,125,177,12,31,3
5876672827,112,143,15,54,3
2306720827,165,164,43,21,3
4381453827,0,139,15,36,3
2106542827,58,98,36,67,3
3195786827,195,149,23,11,3
5428460827,133,105,16,27,3
5139204827,143,112,17,20,3
6131590827,0,63,45,49,3
7932570827,31,81,32,26,3
2667956827,79,83,13,19,3
4573912827,65,80,13,17,3
3476800827,75,73,18,8,3
1708326827,0,40,18,37,3
4492574827,80,56,25,20,3
1715725827,0,32,9,17,3
5954259827,0,16,16,13,3
