#item,x,y,width,height,label
1261750729,0,0,256,256,3
4825469729,119,229,17,27,3
7739633729,140,234,29,22,3
3935520729,169,244,14,12,3
7582580729,152,131,35,103,3
8464384729,115,64,26,164,3
8099409729,71,200,20,16,3
3671158729,66,171,14,19,3
6899851729,134,169,11,19,3
7212698729,208,137,22,22,3
9977772729,49,51,66,107,3
9591991729,35,112,23,40,3
6144078729,159,112,12,20,3
1641796729,52,106,17,19,3
2318504729,142,63,27,44,3
2495415729,171,75,23,14,3
3996562729,135,35,14,38,3
2897062729,55,48,15,17,3
9399175729,84,28,26,20,3
