#item,x,y,width,height,label
5131857461,5,237,17,19,3
8697769461,38,192,54,64,3
2295940461,84,240,24,16,3
7861378461,155,229,15,27,3
9762414461,189,224,18,16,3
1350511461,0,0,256,234,3
5999809461,193,207,20,21,3
1598211461,126,197,13,17,3
3633680461,141,183,13,24,3
9290841461,191,188,17,17,3
9263166461,164,145,18,58,3
9808727461,72,156,20,18,3
1515379461,103,97,28,60,3
5987555461,144,113,31,40,3
7896685461,84,125,14,21,3
6829284461,63,111,13,16,3
9697734461,202,100,13,23,3
9543163461,80,101,24,20,3
4805213461,166,93,31,24,3
3845824461,192,82,17,13,3
