#item,x,y,width,height,label
5083144319,0,63,70,193,3
3945709319,113,224,77,32,3
6293504319,221,119,35,137,3
6289791319,172,185,10,23,3
8349244319,84,168,9,25,3
3816910319,73,160,10,27,3
7770808319,187,116,43,70,3
2483947319,205,167,12,18,3
7666745319,179,117,11,23,3
5738493319,104,123,9,15,3
8630453319,224,105,24,16,3
4102712319,161,65,13,21,3
4311629319,81,63,24,19,3
2296599319,62,48,16,22,3
1119334319,0,39,23,22,3
7610118319,72,33,18,27,3
5631096319,160,0,29,56,3
1984309319,220,35,13,21,3
5006367319,54,28,13,24,3
1607787319,236,8,20,40,3
5562740319,80,0,29,40,3
3788484319,16,0,33,33,3
7623260319,0,0,13,31,3
5351559319,123,0,26,32,3
7832381319,209,0,31,28,3
1495989319,47,0,22,17,3
5650681319,191,0,15,17,3
