#item,x,y,width,height,label
7016529432,0,229,29,27,3
7072152432,79,238,15,18,3
7658727432,223,130,33,126,3
6175084432,205,183,12,24,3
2778241432,195,144,13,42,3
9093409432,17,161,10,22,3
4716106432,0,0,84,180,3
3779036432,101,162,16,18,3
4442344432,79,150,18,15,3
3758211432,121,150,13,10,3
2481844432,178,41,78,118,3
6030636432,128,119,6,26,3
9243616432,82,90,27,42,3
8012717432,212,103,12,25,3
1094126432,139,57,60,38,3
7680622432,48,35,51,51,3
4455555432,154,0,29,49,3
5058321432,168,13,20,35,3
5973819432,86,0,35,31,3
9347550432,210,0,10,32,3
4613707432,129,16,19,11,3
2698199432,128,0,16,13,3
