#item,x,y,width,height,label
3161822481,0,80,229,176,2
8754736481,191,188,16,17,2
8686752481,111,176,17,22,2
4783358481,147,76,26,107,2
2381026481,141,162,11,15,2
1259281481,111,154,18,22,2
2529713481,231,140,25,36,2
8786554481,36,137,13,14,2
3911333481,135,118,9,34,2
5512672481,120,119,13,30,2
3002253481,0,118,28,15,2
7633077481,176,119,20,14,2
5138256481,47,99,23,16,2
9539136481,211,89,9,17,2
8702676481,119,79,16,17,2
3749611481,113,62,16,14,2
8453935481,42,55,22,10,2
8976996481,193,0,63,66,2
7842250481,224,47,21,17,2
5838904481,120,48,15,13,2
4703087481,176,43,17,14,2
7621737481,248,35,8,19,2
5903413481,147,0,24,28,2
7980188481,80,0,22,12,2
