#item,x,y,width,height,label
8252051994,73,217,23,39,2
2278688994,98,0,34,256,2
8616437994,183,235,9,21,2
4074532994,199,0,57,256,2
4812949994,128,195,8,46,2
8835748994,101,207,13,33,2
1551247994,32,95,36,141,2
1536838994,143,173,8,27,2
5736364994,135,0,92,187,2
3606372994,177,147,11,41,2
6481052994,102,150,11,31,2
6871298994,212,170,13,12,2
9633409994,136,128,18,44,2
4168108994,73,129,14,18,2
3270812994,82,106,14,35,2
3578647994,30,24,42,102,2
7411983994,185,84,17,39,2
8947476994,171,91,10,27,2
5454683994,84,64,13,44,2
1876285994,32,74,15,22,2
6035527994,73,0,28,95,2
4931461994,19,0,18,58,2
4972774994,161,32,10,17,2
1506198994,179,24,13,22,2
