#item,x,y,width,height,label
1908318192,0,211,15,45,2
5754191192,56,233,19,23,2
7649524192,68,20,92,236,2
6156064192,188,49,49,207,2
5925615192,25,217,24,29,2
7437258192,160,176,55,64,2
1434019192,156,207,52,28,2
7906885192,68,187,16,26,2
1417897192,12,141,28,62,2
5442382192,188,172,18,24,2
1127769192,0,140,12,28,2
2288075192,66,138,10,23,2
2287320192,114,84,46,76,2
5497442192,81,135,15,16,2
8014405192,162,129,12,14,2
8573520192,16,102,9,15,2
8208067192,27,79,22,34,2
6913300192,0,25,17,55,2
5806582192,134,36,11,18,2
2333396192,204,32,11,18,2
5567080192,26,1,20,30,2
4756367192,58,0,15,16,2
4486463192,91,0,124,11,2
3182920192,214,0,42,9,2
