#item,x,y,width,height,label
1968251683,138,201,22,55,2
1596285683,163,224,17,32,2
8919809683,200,96,34,160,2
9872948683,187,191,9,34,2
6354179683,66,0,33,217,2
5186956683,20,85,32,116,2
3158272683,131,144,10,38,2
9950739683,177,155,11,18,2
2765938683,140,120,18,49,2
5333865683,190,154,11,14,2
3661725683,44,122,16,21,2
6839936683,119,81,14,43,2
3365046683,42,97,11,17,2
5221845683,48,76,13,19,2
3426412683,215,0,41,95,2
4407495683,124,18,20,72,2
2279703683,37,34,11,20,2
5135268683,168,17,21,32,2
4885467683,29,15,7,26,2
3394270683,112,0,8,39,2
5209081683,197,0,15,20,2
