#item,x,y,width,height,label
4043663021,95,134,33,122,2
6470361021,163,219,10,37,2
2881815021,217,191,27,65,2
3342382021,237,163,19,88,2
8161488021,21,100,55,147,2
6332984021,237,191,11,56,2
5002033021,155,176,12,31,2
6925994021,176,0,63,136,2
4690933021,143,85,8,37,2
7451267021,65,31,12,87,2
7789742021,15,32,23,64,2
7765641021,42,73,12,23,2
5603209021,117,49,10,38,2
1688044021,151,38,9,30,2
9927152021,50,31,9,33,2
3435139021,76,0,15,54,2
8122024021,93,25,10,29,2
7052557021,138,18,9,34,2
9442337021,124,0,8,45,2
3756983021,169,0,7,40,2
3101592021,16,0,20,32,2
