#item,x,y,width,height,label
3185097853,112,225,21,31,2
8295881853,66,0,78,256,2
4790829853,159,198,16,58,2
5090402853,199,240,16,16,2
2880610853,193,11,61,245,2
9122927853,122,91,41,162,2
9552617853,219,183,14,35,2
4427247853,45,160,13,40,2
7051241853,104,176,8,15,2
8132757853,192,152,26,40,2
8937751853,209,118,21,53,2
2513775853,171,127,15,33,2
9025732853,50,67,25,73,2
6455953853,159,92,17,36,2
5874374853,179,96,24,21,2
1747817853,25,80,15,21,2
3505392853,11,22,19,78,2
9020552853,113,47,25,43,2
2350252853,167,54,16,28,2
2352987853,142,31,26,49,2
7292155853,111,26,33,25,2
6127970853,162,23,24,25,2
1306396853,54,0,21,26,2
4295674853,140,2,20,14,2
