#item,x,y,width,height,label
5834888478,70,98,186,158,3
9712083478,144,244,19,12,3
6991157478,153,217,14,20,3
7202917478,91,192,17,18,3
4837132478,66,176,15,29,3
7020918478,18,186,21,15,3
8322349478,122,182,23,20,3
9708077478,0,0,90,191,3
6471382478,166,115,7,29,3
7413976478,156,16,44,116,3
6251316478,122,100,26,24,3
2026691478,192,89,17,26,3
4600108478,135,90,25,15,3
2524634478,63,80,35,18,3
9974498478,59,60,16,21,3
8367253478,111,67,12,14,3
2528080478,128,21,30,37,3
1442832478,207,27,26,10,3
4795172478,161,0,95,26,3
3240125478,112,10,26,8,3
