#item,x,y,width,height,label
4470973748,0,139,78,117,3
2941004748,106,202,93,54,3
1797045748,214,124,42,132,3
5099832748,112,207,16,8,3
3076299748,32,204,17,7,3
2643719748,227,181,14,19,3
8463417748,111,162,16,22,3
9936454748,167,124,49,60,3
1964276748,73,160,34,22,3
6203841748,125,113,28,53,3
5394986748,53,116,11,24,3
5158182748,5,75,27,41,3
6892566748,121,70,12,42,3
2969335748,154,94,15,13,3
7061308748,68,48,21,43,3
6300857748,26,55,11,15,3
5160723748,197,40,16,21,3
2697597748,105,32,16,17,3
8066299748,186,0,20,48,3
7339311748,175,18,11,16,3
3681321748,98,0,22,31,3
4693573748,125,0,15,32,3
8955439748,22,2,13,19,3
6590636748,35,0,14,17,3
