#item,x,y,width,height,label
7587510297,0,117,180,139,3
6989087297,186,0,70,256,3
8634310297,112,197,17,30,3
1327336297,104,167,13,20,3
5263596297,144,147,9,16,3
7179901297,70,0,67,155,3
4215182297,148,93,12,15,3
2077031297,132,83,16,17,3
9336493297,28,47,14,20,3
8850099297,120,48,13,17,3
6384762297,47,18,16,31,3
6466504297,160,23,17,25,3
3834687297,119,18,32,22,3
6264077297,19,16,17,19,3
9972061297,96,0,16,32,3
1407879297,64,10,12,16,3
3760721297,25,0,19,21,3
9166390297,129,5,13,16,3
3421521297,163,0,16,14,3
