#item,x,y,width,height,label
5237231133,0,0,63,256,3
5330879133,135,223,18,33,3
6125365133,81,0,175,256,3
8021659133,86,201,22,12,3
5541185133,143,183,30,26,3
1356843133,198,176,5,32,3
6863630133,128,159,9,33,3
9321790133,74,160,9,27,3
5663003133,175,153,18,9,3
9675788133,140,128,33,32,3
9509214133,196,141,17,15,3
1559978133,182,111,13,17,3
3614625133,70,96,17,13,3
6662569133,53,93,16,15,3
1427943133,184,93,13,15,3
8727443133,67,32,36,61,3
3910521133,56,80,22,11,3
9457750133,31,63,29,16,3
4621143133,56,58,24,19,3
6676090133,34,26,34,31,3
