#item,x,y,width,height,label
8669073151,0,0,187,256,3
5203894151,213,185,43,71,3
9997845151,122,180,18,61,3
9897811151,80,178,33,29,3
2302394151,68,171,15,15,3
7623488151,113,101,19,76,3
6059488151,164,154,25,21,3
1787740151,86,144,26,27,3
3916753151,143,134,17,27,3
3350728151,240,121,16,21,3
3405268151,84,94,24,40,3
4352885151,153,90,19,14,3
6501246151,75,51,52,45,3
3976795151,192,32,43,57,3
9032071151,168,59,19,22,3
4823739151,98,54,20,11,3
5893914151,102,37,27,17,3
9754363151,236,0,20,49,3
6914650151,200,3,40,44,3
1666399151,156,32,29,12,3
9509262151,176,20,20,17,3
2328694151,96,18,16,9,3
