#item,x,y,width,height,label
7551189783,142,212,16,44,4
2410217783,240,246,16,10,4
5978031783,3,93,25,147,4
3125690783,180,229,12,11,4
5480010783,46,218,13,18,4
9074374783,240,212,10,12,4
7171125783,132,0,124,216,4
7298110783,83,48,37,160,4
6618062783,208,171,20,24,4
1698564783,57,162,24,30,4
5942379783,234,162,12,14,4
6483169783,30,149,25,19,4
8054432783,209,133,17,9,4
1027881783,192,114,16,8,4
7735470783,5,50,8,42,4
4256806783,24,58,18,18,4
1199989783,203,56,19,20,4
9949224783,145,54,12,15,4
9309963783,11,6,25,42,4
9581831783,139,30,22,18,4
8746647783,216,16,21,24,4
6538735783,55,0,16,30,4
8573451783,128,1,14,22,4
5872040783,149,0,17,18,4
