#item,x,y,width,height,label
3922224943,82,235,11,13,4
6214666943,89,32,65,209,4
9042538943,163,227,22,15,4
6114484943,174,112,38,106,4
1588814943,240,183,16,24,4
7298034943,148,147,19,45,4
6846295943,160,170,22,19,4
3572045943,50,102,15,43,4
5856038943,84,113,12,28,4
4547964943,153,103,36,22,4
8750292943,190,80,22,30,4
6311477943,167,79,18,20,4
7038333943,223,66,13,26,4
3309224943,192,0,61,75,4
3536070943,168,31,13,36,4
1432542943,57,0,17,66,4
8496947943,104,31,6,22,4
6240424943,143,16,15,25,4
8365580943,95,8,8,25,4
9585734943,176,0,14,29,4
