#item,x,y,width,height,label
9302814371,48,200,8,56,4
7018467371,102,0,127,256,4
8182864371,213,237,28,19,4
9044778371,246,232,10,17,4
8941289371,235,206,21,32,4
3780138371,232,183,19,12,4
4313011371,213,175,18,13,4
2923322371,62,162,18,23,4
4981418371,179,152,10,15,4
9939855371,160,0,96,145,4
6887574371,69,118,38,25,4
2105220371,198,123,20,20,4
6627314371,0,48,41,91,4
5563014371,179,111,19,19,4
2690217371,51,102,13,20,4
6353733371,99,86,13,12,4
7956262371,81,37,31,35,4
9939043371,52,55,11,15,4
1722505371,11,31,12,16,4
6262690371,36,19,22,29,4
9565208371,0,4,7,28,4
5170875371,6,0,24,29,4
8049850371,42,1,11,15,4
