#item,x,y,width,height,label
1576362262,68,21,144,235,4
8310262262,0,186,35,65,4
3535721262,35,216,33,29,4
5138085262,0,172,19,26,4
3095044262,31,170,24,23,4
2774634262,159,144,11,27,4
2101155262,18,152,18,15,4
4673650262,12,138,20,16,4
5771631262,0,123,16,19,4
6659687262,30,123,12,14,4
8842245262,162,111,16,13,4
2000639262,72,0,13,119,4
3177352262,0,0,57,118,4
1663914262,223,86,17,29,4
2410829262,209,95,13,18,4
7825788262,101,61,23,44,4
7992484262,88,55,14,26,4
7494220262,174,48,15,33,4
7369371262,203,66,14,13,4
6760225262,48,39,19,38,4
6139516262,206,51,24,16,4
4975330262,116,41,12,19,4
6802545262,231,32,12,15,4
5705335262,87,0,41,42,4
6889343262,149,7,12,16,4
