#item,x,y,width,height,label
8436981557,0,208,17,48,4
3042483557,47,0,135,256,4
9054978557,198,238,17,18,4
6662130557,80,221,24,17,4
1839860557,54,204,14,18,4
1077610557,250,188,6,30,4
2546566557,0,111,18,90,4
1097356557,217,101,39,75,4
4721237557,12,126,22,47,4
7744717557,65,159,16,14,4
3019039557,175,141,17,20,4
1415865557,68,144,19,12,4
9121134557,190,107,22,22,4
8046142557,164,72,13,23,4
1719293557,209,0,38,94,4
6452341557,209,52,12,11,4
6082438557,223,38,13,10,4
5659419557,58,0,13,44,4
1780392557,12,0,41,26,4
9138395557,0,0,9,16,4
