#item,x,y,width,height,label
7523014019,0,0,256,256,4
8226901019,125,243,11,13,4
3632131019,201,240,12,16,4
9036967019,144,228,21,10,4
3527912019,216,191,24,18,4
3520484019,49,157,14,26,4
1864572019,36,127,16,22,4
8096739019,202,119,11,24,4
1832957019,12,101,13,33,4
5100135019,180,86,9,23,4
9605659019,209,96,11,13,4
6844581019,218,86,15,17,4
4423513019,239,82,17,13,4
3596778019,175,65,11,25,4
4141255019,192,18,22,55,4
6148547019,15,36,29,30,4
3556193019,249,41,7,21,4
7728432019,173,29,19,26,4
1848636019,234,34,12,21,4
7069725019,44,25,13,12,4
2543183019,170,3,20,24,4
