#item,x,y,width,height,label
3928540679,38,0,116,256,4
4586445679,212,159,44,97,4
4782163679,183,201,20,11,4
1762318679,139,187,20,17,4
4308170679,190,157,16,15,4
5064947679,215,133,19,19,4
3531990679,178,135,18,10,4
2523324679,181,118,16,14,4
3557171679,203,112,21,20,4
5478285679,214,96,18,24,4
4450931679,147,86,13,10,4
4551718679,196,64,20,31,4
2125890679,235,66,21,21,4
5510925679,150,66,17,16,4
7404064679,207,48,16,10,4
9754476679,160,16,48,35,4
1906278679,240,10,16,37,4
2001854679,174,9,13,15,4
