#item,x,y,width,height,label
1795168514,29,231,20,24,4
8317114514,49,227,20,29,4
6083097514,78,247,24,9,4
9439478514,110,239,17,17,4
7701108514,139,157,117,99,4
9365145514,203,239,48,17,4
4842504514,56,164,74,84,4
1583148514,16,216,17,21,4
2198704514,131,216,17,20,4
4062292514,15,152,19,60,4
3920026514,34,199,18,13,4
6534668514,140,0,47,208,4
5117004514,94,137,19,23,4
6724838514,226,52,30,108,4
5494013514,211,133,18,19,4
1058678514,24,0,32,144,4
4227867514,192,114,27,22,4
9278835514,78,112,28,22,4
3546242514,80,15,48,41,4
9071106514,220,0,33,33,4
8579227514,183,0,29,32,4
3705658514,105,0,26,24,4
8912621514,64,0,16,9,4
