#item,x,y,width,height,label
1807853590,80,160,48,96,4
7525670590,133,25,123,231,4
1498120590,0,183,24,49,4
8990513590,48,120,12,26,4
2325396590,96,100,11,22,4
7347584590,12,101,15,11,4
4284211590,236,73,16,34,4
7803216590,65,80,32,23,4
2068212590,205,86,11,17,4
7917012590,42,81,29,20,4
2797835590,198,68,15,18,4
4966955590,26,62,14,13,4
9784239590,127,25,16,51,4
8202960590,51,51,20,11,4
9015384590,0,25,54,34,4
8603213590,60,23,16,24,4
2546810590,227,33,15,15,4
1086974590,83,16,13,16,4
8877573590,217,3,18,21,4
7803338590,0,0,17,17,4
7410236590,111,0,29,14,4
