#item,x,y,width,height,label
5547027429,0,211,40,45,4
8262005429,54,243,16,13,4
7188525429,94,215,21,40,4
9757926429,132,99,36,157,4
6685017429,47,167,18,67,4
6099051429,172,190,25,35,4
6274910429,0,208,12,14,4
8491273429,178,132,39,85,4
8854472429,166,181,7,28,4
5664228429,6,144,18,49,4
4938119429,89,150,9,23,4
6691054429,105,143,12,19,4
7256728429,0,116,21,34,4
1013288429,104,80,25,60,4
8707452429,202,112,19,24,4
4893600429,84,101,15,27,4
5281672429,53,89,12,18,4
5846996429,203,84,11,17,4
5860735429,81,79,17,17,4
9637638429,136,66,14,22,4
3243492429,150,58,13,23,4
5295946429,49,64,12,14,4
4900234429,200,0,32,64,4
7403198429,18,47,10,14,4
7870565429,71,0,19,53,4
3645307429,95,27,23,27,4
7628778429,44,0,16,40,4
3155174429,89,0,23,22,4
